OBJECTID,CODI_AJB,CODI_INE,GRUP_TVIA,T_Via,Desc_Via,N_Carrer,N_CarrerC,N_CarrerC2,NOM_indexOnomastic,DATA_APROV,NOTES_DATA,ParaulaClau_1,ParaulaClau_2,ParaulaClau_3,PAGINA_WIKIPEDIA,BIOGRAFIA_CAT,PAGINA_WIKIPEDIA2
54,005809,00057,CARRERS,Ptge,Passatge,Albert Pinyol,Ptge d'Albert Pinyol,Passatge Albert Pinyol,"Pinyol i Domingo, Albert",,Any 1920,Ésser viu,Home,Propietat,,"Albert Pinyol i Domingo (Valls, 1841 - Barcelona, 1919). Jardiner i propietari dels terrenys on s'obrí el passatge. Adquirí la meitat dels terrenys per compra a Mercè Saladrigas i l'altra meitat per herència de la seva muller, Teresa Jorba i Mateu. Els terrenys havien format part de l'heretat de Corts, del monestir de religioses jerònimes. Dedicat a la seva memòria pels seus fills Albert i Ignasi.",
57,006404,00064,PLACES,Pl,Plaça,Alcalde Baró de Viver,Pl de l'Alcalde Baró de Viver,Plaça Alcalde Baró de Viver,"Rumeu i Freixa, Darius",19/01/1943,,Ésser viu,Home,Política,https://ca.wikipedia.org/wiki/Darius_Rumeu_i_Freixa,"Darius Rumeu i Freixa (Barcelona, 1886 - 1970). Segon baró de Viver, gran d'Espanya, polític i financer. Líder dels monàrquics liberals catalans. Alcalde de Barcelona (1925 - 1929). El nom fou donat a la plaça perquè també concebé la urbanització del final de la Diagonal.",https://ca.wikipedia.org/wiki/Darius_Rumeu_i_Freixa
58,006506,00065,CARRERS,C,Carrer,Alcalde Miralles,C de l'Alcalde Miralles,Carrer Alcalde Miralles,"Miralles i Vilalta, Ramon",25/01/1952,,Ésser viu,Home,Política,,"Ramon Miralles i Vilalta (Sarrià, 1841 - 1909). Alcalde de la vila de Sarrià de 1878 a 1902. Nomenat fill adoptiu de Sarrià perquè va aconseguir la independència administrativa de Barcelona. Va establir l'actual Consell del Districte, on es va crear l'Arxiu Municipal.",
59,006608,00066,CARRERS,C,Carrer,Alcalde de Móstoles,C de l'Alcalde de Móstoles,Carrer Alcalde de Móstoles,"Torrejón, Andrés",07/07/1942,,Ésser viu,Home,Política,,"Andrés Torrejón (Móstoles, 1736 - 1812). Pagès que fou alcalde juntament amb Simón Hernández. En arribar les notícies del Dos de Maig de 1808, el fiscal del Consell de Guerra, Juan Pérez Villamil, que es trobava en aquell moment a Móstoles, redactà una proclama incitant el poble a aixecar-se en armes i socórrer Madrid. Els dos alcaldes signaren el ban, que es va estendre ben aviat per Extremadura i Andalusia.",
64,007258,00074,CARRERS,C,Carrer,Martí i Franquès,C de Martí i Franquès,Carrer Martí i Franquès,"Martí i Franquès, Antoni de",28/07/1982,,Ésser viu,Home,Ciència,https://ca.wikipedia.org/wiki/Antoni_de_Martí_i_Franquès,"Antoni de Martí i Franquès (Altafulla, 1750 - Tarragona, 1832). Científic. Noble de la casa pairal d'Ardenya, a Altafulla. Membre de l'Acadèmia de Ciències Naturals i Arts de Barcelona (1786). L'Institut d'Estudis Catalans instituí un premi que duu el seu nom.",https://ca.wikipedia.org/wiki/Antoni_de_Martí_i_Franquès
69,007702,00079,CARRERS,C,Carrer,Aldana,C d'Aldana,Carrer Aldana,"Aldana, Joan",04/04/1865,,Ésser viu,Home,Militar,https://ca.wikipedia.org/wiki/Joan_Aldana,"Joan Aldana (Tortosa, segles XV - XVI). Militar al servei de Ferran II de Catalunya-Aragó i de Carles V. A Pavia (1525), féu personalment presoner el rei de França Francesc I.",https://ca.wikipedia.org/wiki/Joan_Aldana
73,008104,00083,CARRERS,C,Carrer,Alexandre de Torrelles,C d'Alexandre de Torrelles,Carrer Alexandre de Torrelles,"Torrelles, Alexandre de",10/12/1929,,Ésser viu,Home,Militar,,Alexandre de Torrelles. Comandant de divisió naval que lluità a la batalla de Lepant (1571) sota les ordres de Lluís de Requesens. Capturà la galera que conduïa els fills del gran almirall turc.,
77,008501,00087,CARRERS,C,Carrer,Alfons XII,C d'Alfons XII,Carrer Alfons XII,Alfons XII,07/03/1939,,Ésser viu,Home,Monarquia,https://ca.wikipedia.org/wiki/Alfons_XII,"Alfons XII (Madrid, 1857 - 1885). Rei d'Espanya. S'hagué d'exiliar a França a causa de la Revolució de Setembre de 1868. Després del cop d'estat de Sagunt (desembre de 1874), enderrocà la República i es proclamà rei. Durant el seu regnat posà fi a la guerra carlina (1876) i a la insurrecció cubana (1878), i fou promulgada una nova constitució (1876), molt més moderada que la del 1869. Fill d'Isabel II i de Francesc d'Assís de Borbó.",https://ca.wikipedia.org/wiki/Alfons_XII
78,008603,00088,CARRERS,C,Carrer,Costa i Cuxart,C de Costa i Cuxart,Carrer Costa i Cuxart,"Costa i Cuxart, Antoni Cebrià",26/02/1993,,Ésser viu,Home,Ciència,https://ca.wikipedia.org/wiki/Antoni_Cebrià_Costa_i_Cuxart,"Antoni Cebrià Costa i Cuxart (València, 1817 - Barcelona, 1886). Botànic. Catedràtic de botànica a la Universitat de Barcelona (1847).",https://ca.wikipedia.org/wiki/Antoni_Cebrià_Costa_i_Cuxart
79,008705,00089,CARRERS,C,Carrer,Alfons el Magnànim,C d'Alfons el Magnànim,Carrer Alfons el Magnànim,Alfons IV de Catalunya,27/07/1960,,Ésser viu,Home,Monarquia,https://ca.wikipedia.org/wiki/Alfons_IV_de_Catalunya,"Alfons IV de Catalunya, el Magnànim (?, 1396 - Nàpols, 1458). Rei de Catalunya i Aragó (1418 - 1458) i de Nàpols (1442 - 1458). Regnà durant quaranta anys i en passà vint-i-vuit entre guerres i festes a Nàpols. La conquesta d'aquesta ciutat assegurà el Regne de les Dues Sicílies. Fill de Ferran I i d'Elionor d'Alburquerque.",https://ca.wikipedia.org/wiki/Alfons_IV_de_Catalunya
80,008807,00090,PLACES,Pl,Plaça,Alfons el Savi,Pl d'Alfons el Savi,Plaça Alfons el Savi,Alfons X el Savi,27/05/1959,,Ésser viu,Home,Monarquia,https://ca.wikipedia.org/wiki/Alfons_X_el_Savi,"Alfons X el Savi (Toledo, 1221 - Sevilla, 1284). Rei de Castella. Estimulà, dirigí i corregí personalment els treballs literaris d'un nombrós grup de col·laboradors àrabs, hebreus i cristians, i donà un impuls definitiu a la prosa castellana. L'obra jurídica d'Alfons X suposà una fita en l'evolució de l'antic dret castellà. Fill de Ferran III i de Beatriu, filla de Felip, duc de Suàbia. Gendre de Jaume I de Catalunya-Aragó.",https://ca.wikipedia.org/wiki/Alfons_X_el_Savi
85,009209,00095,CARRERS,C,Carrer,Alí Bei,C d'Alí Bei,Carrer Alí Bei,"Badia i Leblich, Domènec",19/12/1863,,Ésser viu,Home,Llengua i Literatura,https://ca.wikipedia.org/wiki/Domènec_Badia_i_Leblich,"Domènec Badia i Leblich (Barcelona, 1767 - Damasc, 1818). Viatger i escriptor. Explorador al servei del Govern de Carles IV. Amb el nom àrab d'Alí Bei-el-Abbasí i fent-se passar per descendent del profeta, recorregué el Marroc i altres reialmes preparant projectes de penetració i escrivint els relats dels seus viatges i aventures. La invasió francesa provocà que no pogués dur a terme la seva missió. Al servei del rei Josep fou nomenat governador de Segòvia. Com a afrancesat, hagué d'emigrar.",https://ca.wikipedia.org/wiki/Domènec_Badia_i_Leblich
86,009300,00096,CARRERS,Ptge,Passatge,Alí Bei,Ptge d'Alí Bei,Passatge Alí Bei,"Badia i Leblich, Domènec",,Abans de 1925,Ésser viu,Home,Llengua i Literatura,https://ca.wikipedia.org/wiki/Domènec_Badia_i_Leblich,Per la mateixa dedicació que el carrer d'Alí Bei.,https://ca.wikipedia.org/wiki/Domènec_Badia_i_Leblich
88,009457,00098,CARRERS,C,Carrer,Alighieri,C d'Alighieri,Carrer Alighieri,"Alighieri di Manetto, Iacopo",19/11/1929,,Ésser viu,Home,Poesia,,"Iacopo Alighieri di Manetto (Florència, 1291 - 1348). Poeta. És autor del primer resum, en tercets, de La Divina Comèdia (1322). Acompanyà el seu pare, Dante, a l'exili fins al 1325, any en què retornà a Florència. Com que el carrer era a prop del de Dante, se l'anomenà d'Alighieri, tot pensant en el mateix personatge.",
89,009606,00099,CARRERS,Ptge,Passatge,Alió,Ptge d'Alió,Passatge Alió,"Alió i Brea, Francesc",29/03/1922,,Ésser viu,Home,Música,https://ca.wikipedia.org/wiki/Francesc_Alió_i_Brea,"Francesc Alió i Brea (Barcelona, 1862 - 1908). Compositor. Fou un dels iniciadors del renaixement musical català. Aquest passatge, situat en l'antic paratge de Caputxins vells de Gràcia, fou propietat de Romà de Grassot i Elías, raó per la qual s'anomenava passatge Román fins que se substituí pel d'Alió.",https://ca.wikipedia.org/wiki/Francesc_Alió_i_Brea
91,009800,00103,CARRERS,C,Carrer,Almagro,C d'Almagro,Carrer Almagro,"Almagro, Diego de",31/10/1955,,Ésser viu,Home,Militar,https://ca.wikipedia.org/wiki/Diego_de_Almagro,"Diego de Almagro (Almagro, 1475 - Cusco, 1538). Militar i conqueridor del Perú i Xile.",https://ca.wikipedia.org/wiki/Diego_de_Almagro
99,010707,00111,CARRERS,C,Carrer,Almirall Aixada,C de l'Almirall Aixada,Carrer Almirall Aixada,"Aixada, Rafael",16/08/1927,,Ésser viu,Home,Militar,https://ca.wikipedia.org/wiki/Rafael_Aixada,"Rafael Aixada (Sant Feliu de Guíxols, segle XVI). Tinent general de les galeres de l'emperador Carles I. La seva actuació a l'Alguer fou admirable, ja que salvà el rei després de la derrota de les tropes espanyoles el 13 d'octubre de 1541.",https://ca.wikipedia.org/wiki/Rafael_Aixada
100,010809,00112,CARRERS,C,Carrer,Almirall Barceló,C de l'Almirall Barceló,Carrer Almirall Barceló,"Barceló i Pont de la Terra, Antoni",19/08/1947,,Ésser viu,Home,Militar,https://ca.wikipedia.org/wiki/Antoni_Barceló_i_Pont_de_la_Terra,"Antoni Barceló i Pont de la Terra (Palma de Mallorca, 1716 - 1797). Tinent general de l'Armada. Les gestes més notables foren: la derrota naval del pirata Selim (1763); les accions contra Alger (1755 i 1783); els bloquejos navals de Gibraltar (1779 i 1781), i l'expedició marítima de 1783 contra el sultà del Marroc, a qui obligà a aixecar el setge de Ceuta.",https://ca.wikipedia.org/wiki/Antoni_Barceló_i_Pont_de_la_Terra
101,010900,00113,CARRERS,C,Carrer,Pepe Rubianes,C de Pepe Rubianes,Carrer Pepe Rubianes,"Rubianes Alegret, José",26/01/2018,,Ésser Viu,Home,Arts Escèniques,https://ca.wikipedia.org/wiki/José_Rubianes_Alegret,-,https://ca.wikipedia.org/wiki/José_Rubianes_Alegret
102,010955,00114,CARRERS,C,Carrer,Almirall Okendo,C de l'Almirall Okendo,Carrer Almirall Okendo,"Okendo, Antonio de",,Abans de 1900,Ésser viu,Home,Militar,,"Antonio de Okendo (Donostia, 1577 - la Corunya, 1640). Marí. Després de ser comandant general de l'esquadra de Cantàbria, fou nomenat general de la flota de Nova Espanya i, l'any 1623, almirall general de l'Armada de l'Oceà. El 1631, Felip IV el premià amb el títol de conseller de guerra.",
103,011007,00115,CARRERS,C,Carrer,Almirall Pròixida,C de l'Almirall Pròixida,Carrer Almirall Pròixida,"Pròixida, Olf de",19/11/1929,,Ésser viu,Home,Militar,,"Olf de Pròixida (segle XIV). Noble valencià, militar i marí, provinent de la família siciliana Pròcida.",
104,011109,00116,CARRERS,C,Carrer,Almirall Churruca,C de l'Almirall Churruca,Carrer Almirall Churruca,"Churruca y Elorza, Cosme Damián",07/07/1942,,Ésser viu,Home,Militar,,"Cosme Damián Churruca y Elorza (Mutriku, 1761 - batalla de Trafalgar, 1805). Militar i cartògraf. Participà en el setge de Gibraltar (1781 - 1783); emprengué diverses expedicions marítimes i n'escriví interessants relats tècnics i geogràfics, i col·laborà en la realització de l'atles marítim d'Amèrica del Sud.",
106,011302,00118,CARRERS,C,Carrer,Alonso Cano,C d'Alonso Cano,Carrer Alonso Cano,"Cano, Alonso",28/01/1959,,Ésser viu,Home,Escultura,https://ca.wikipedia.org/wiki/Alonso_Cano,"Alonso Cano (Granada, 1601 - 1667). Escultor, pintor i arquitecte barroc. El 1638 es traslladà a Madrid, on rebé la influència de la pintura veneciana de les col·leccions reials.",https://ca.wikipedia.org/wiki/Alonso_Cano
107,011404,00119,CARRERS,Ptge,Passatge,Aloi,Ptge d'Aloi,Passatge Aloi,"Aloy i Romaní, Jaume",,Abans de 1900,Ésser viu,Home,Propietat,,"En memòria de Jaume Aloy i Romaní (1836 - 1898). Rajoler i propietari dels terrenys. Aquest antropotopònim, d'acord amb el Decret 78/1991 sobre l'ús de la toponímia, fou normalitzat junt amb la resta de topònims de la ciutat.",
123,012804,00137,CARRERS,C,Carrer,Alvarado,C d'Alvarado,Carrer Alvarado,"Alvarado, Pedro de",31/10/1955,,Ésser viu,Home,Militar,https://ca.wikipedia.org/wiki/Pedro_de_Alvarado,"Pedro de Alvarado (Badajoz, 1485 - Mèxic, 1541). Conqueridor i capità d'Hernán Cortés. Sotmeté la zona de Guatemala i El Salvador (1523 - 1524), i li fou concedida la governació de Guatemala. Morí en un combat de repressió dels habitants de Jalisco.",https://ca.wikipedia.org/wiki/Pedro_de_Alvarado
126,013002,00140,CARRERS,C,Carrer,Alloza,C d'Alloza,Carrer Alloza,"Alloza i Alloza, Salvador",,,Ésser viu,Home,Propietat,,"Salvador Alloza i Alloza (Barcelona, 1897 - 1976). Carter del barri. Per tal de facilitar-ne la localització, el carter féu que la correspondència que s'adreçava a l'indret s'identifiqués amb el seu cognom, Alloza. El barri s'anà poblant i durant un bon temps penjà d'un clau, en aquest carrer, un rètol de fusta amb el nom d'Alloza. Amb el temps el nom es féu oficial.",
